Subject	Factor	Condition	Trial	Score
9	2	1	24	0.6777
9	2	1	25	1.4994
9	2	2	1	6.0943
9	2	2	2	5.9461
9	2	2	3	3.5260
9	2	2	4	5.3563
9	2	2	5	6.0619
9	2	2	6	4.0089
9	2	2	7	4.8530
9	2	2	8	5.0986
9	2	2	9	4.1069
9	2	2	10	4.6722
9	2	2	11	5.4644
9	2	2	12	4.7021
9	2	2	13	4.5680
9	2	2	14	2.8351
9	2	2	15	4.6441
9	2	2	16	4.9289
9	2	2	17	5.0508
9	2	2	18	5.2122
9	2	2	19	4.8068
9	2	2	20	4.7634
9	2	2	21	3.9427
9	2	2	22	2.6554
9	2	2	23	2.7128
9	2	2	24	4.9596
9	2	2	25	3.8754
9	2	2	26	5.1002
9	2	2	27	3.7782
10	1	1	1	3.0542
10	1	1	2	1.7510
10	1	1	3	0.8268
10	1	1	4	0.4857
10	1	1	5	1.4312
10	1	1	6	1.0246
10	1	1	7	2.4422
10	1	1	8	2.3970
10	1	1	9	0.9720
10	1	1	10	3.8187
10	1	1	11	-0.0343
10	1	1	12	1.3471
10	1	1	13	0.2842
10	1	1	14	4.5835
10	1	1	15	-0.0702
10	1	1	16	0.6730
10	1	1	17	0.8883
10	1	1	18	2.3744
10	1	1	19	2.5313
10	1	1	20	4.0029
10	1	1	21	2.0543
10	1	1	22	2.6523
10	1	1	23	1.2627
10	1	2	1	2.8816
10	1	2	2	1.7460
10	1	2	3	3.9962
10	1	2	4	4.2341
10	1	2	5	2.0074
10	1	2	6	3.7342
10	1	2	7	3.6122
10	1	2	8	1.7234
10	1	2	9	3.6686
10	1	2	10	3.9373
10	1	2	11	1.7902
10	1	2	12	3.8558
10	1	2	13	2.9341
10	1	2	14	2.5342
10	1	2	15	4.3281
10	1	2	16	3.0742
10	1	2	17	2.4057
10	1	2	18	2.4250
10	1	2	19	5.8236
10	1	2	20	2.0687
10	1	2	21	6.0767
10	1	2	22	3.9557
10	1	2	23	2.4738
10	1	2	24	4.1267
10	1	2	25	4.2806
10	1	2	26	2.4620
10	1	2	27	4.1018
10	1	2	28	3.4439
10	1	2	29	3.8646
10	1	2	30	3.6487
10	2	1	1	2.4399
10	2	1	2	1.2917
10	2	1	3	3.4162
10	2	1	4	3.1894
10	2	1	5	2.1824
10	2	1	6	3.0087
10	2	1	7	2.6523
10	2	1	8	2.3261
10	2	1	9	4.1305
10	2	1	10	3.1006
10	2	1	11	3.3672
10	2	1	12	3.3763
10	2	1	13	4.6619
10	2	1	14	3.3799
10	2	1	15	4.4763
10	2	1	16	4.8835
10	2	1	17	3.0298
10	2	1	18	4.5881
10	2	1	19	3.6652
10	2	1	20	3.2770
10	2	1	21	2.1041
10	2	1	22	4.8706
10	2	1	23	3.8573
10	2	1	24	3.3771
10	2	1	25	4.2779
10	2	1	26	3.7251
10	2	1	27	2.2425
10	2	1	28	3.6502
10	2	2	1	6.0283
10	2	2	2	6.1697
10	2	2	3	6.1030
10	2	2	4	5.1008
10	2	2	5	6.7958
10	2	2	6	6.8828
10	2	2	7	4.2881
10	2	2	8	5.8746
10	2	2	9	6.4305
10	2	2	10	7.3644
10	2	2	11	6.4144
10	2	2	12	3.5968
10	2	2	13	6.6896
10	2	2	14	6.0380
10	2	2	15	6.9846
10	2	2	16	5.6495
10	2	2	17	5.3241
10	2	2	18	4.6869
10	2	2	19	5.0288
10	2	2	20	4.3869
10	2	2	21	4.3250
10	2	2	22	4.9178
10	2	2	23	5.5886
10	2	2	24	5.0663
10	2	2	25	6.3852
10	2	2	26	6.7499
10	2	2	27	4.9651
10	2	2	28	4.4072
10	2	2	29	4.6824
27	1	1	1	0.5933
27	1	1	2	2.0668
27	1	1	3	0.5636
27	1	1	4	0.1767
27	1	1	5	1.2567
27	1	1	6	-0.6800
27	1	1	7	2.3546
27	1	1	8	0.8697
27	1	1	9	1.4702
27	1	1	10	0.4416
27	1	1	11	4.3305
27	1	1	12	-0.3440
27	1	1	13	1.1333
27	1	1	14	-2.2700
27	1	1	15	2.6488
27	1	1	16	-0.8504
27	1	1	17	0.3887
27	1	1	18	0.0865
27	1	1	19	1.0518
27	1	1	20	-0.1121
27	1	1	21	1.0600
27	1	1	22	0.2153
27	1	1	23	-0.0148
27	1	1	24	-1.0460
27	1	1	25	0.4760
27	1	1	26	2.7107
27	1	1	27	1.6205
27	1	1	28	0.7907
27	1	1	29	0.7879
27	1	1	30	1.0881
27	1	1	31	1.0753
27	1	1	32	-1.2341
27	1	2	1	3.0634
27	1	2	2	7.3899
27	1	2	3	3.2777
27	1	2	4	4.5799
27	1	2	5	2.5960
27	1	2	6	4.0675
27	1	2	7	5.0795
27	1	2	8	3.3794
27	1	2	9	3.0008
27	1	2	10	4.2108
27	1	2	11	2.9656
27	1	2	12	2.7005
27	1	2	13	3.5254
27	1	2	14	3.2580
27	1	2	15	4.6617
27	1	2	16	3.0249
27	1	2	17	5.3237
27	1	2	18	2.0719
27	1	2	19	3.9125
27	1	2	20	4.8989
27	1	2	21	3.6124
27	2	1	1	0.8438
27	2	1	2	-0.0404
27	2	1	3	0.8782
27	2	1	4	3.5351
27	2	1	5	0.8122
27	2	1	6	1.9185
27	2	1	7	0.7109
27	2	1	8	2.8248
27	2	1	9	1.0685
27	2	1	10	1.3700
27	2	1	11	2.0639
27	2	1	12	1.0791
27	2	1	13	0.0701
27	2	1	14	2.3026
27	2	1	15	0.7588
27	2	1	16	2.0137
27	2	1	17	3.1427
27	2	1	18	1.5104
27	2	1	19	1.8537
27	2	1	20	1.9013
27	2	1	21	1.0643
27	2	1	22	0.9272
27	2	1	23	0.1059
27	2	1	24	1.3800
27	2	1	25	1.1891
27	2	1	26	1.9286
27	2	2	1	5.6274
27	2	2	2	6.3102
27	2	2	3	4.0098
27	2	2	4	5.9162
27	2	2	5	6.1298
27	2	2	6	5.5971
27	2	2	7	6.5534
27	2	2	8	4.8115
27	2	2	9	5.1145
27	2	2	10	5.1271
27	2	2	11	5.5146
27	2	2	12	7.3444
27	2	2	13	6.6388
27	2	2	14	7.3758
27	2	2	15	4.4645
27	2	2	16	6.3137
27	2	2	17	7.9974
27	2	2	18	6.6566
27	2	2	19	7.2074
27	2	2	20	4.5799
27	2	2	21	6.6045
27	2	2	22	7.4529
27	2	2	23	7.3260
27	2	2	24	6.2657
27	2	2	25	5.9654
27	2	2	26	6.7205
27	2	2	27	6.3331
27	2	2	28	7.9313
27	2	2	29	6.3085
27	2	2	30	5.1634
27	2	2	31	5.8060
27	2	2	32	5.9717
35	1	1	1	2.8173
35	1	1	2	2.1302
35	1	1	3	2.5248
35	1	1	4	4.6755
35	1	1	5	3.2068
35	1	1	6	2.8649
35	1	1	7	3.4845
35	1	1	8	3.6789
35	1	1	9	2.7475
35	1	1	10	1.3027
35	1	1	11	1.3894
35	1	1	12	2.5080
35	1	1	13	2.9276
35	1	1	14	1.6152
35	1	1	15	1.7896
35	1	1	16	2.3300
35	1	1	17	1.8474
35	1	1	18	1.3284
35	1	1	19	2.0811
35	1	1	20	0.0961
35	1	1	21	4.2615
35	1	1	22	1.6352
35	1	1	23	3.1341
35	1	2	1	0.1626
35	1	2	2	1.0470
35	1	2	3	2.1198
35	1	2	4	0.3355
35	1	2	5	1.1714
35	1	2	6	1.3156
35	1	2	7	1.6058
35	1	2	8	1.0887
35	1	2	9	0.9502
35	1	2	10	0.8217
35	1	2	11	1.1810
35	1	2	12	0.7659
35	1	2	13	-0.6014
35	1	2	14	2.3352
35	1	2	15	1.7828
35	1	2	16	2.6044
35	1	2	17	1.0966
35	1	2	18	1.7704
35	1	2	19	0.1832
35	1	2	20	0.4736
35	1	2	21	0.9523
35	1	2	22	2.1877
35	1	2	23	0.7023
35	1	2	24	1.1126
35	1	2	25	2.0345
35	1	2	26	2.3857
35	1	2	27	1.4489
35	1	2	28	1.1259
35	1	2	29	1.2433
35	1	2	30	0.8034
35	1	2	31	0.3180
35	1	2	32	2.1210
35	1	2	33	-1.6013
35	2	1	1	0.9078
35	2	1	2	1.6363
35	2	1	3	0.5281
35	2	1	4	-0.1340
35	2	1	5	0.5420
35	2	1	6	1.1816
35	2	1	7	2.1455
35	2	1	8	0.6949
35	2	1	9	1.2277
35	2	1	10	2.4329
35	2	1	11	0.7401
35	2	1	12	-0.0533
35	2	1	13	0.2186
35	2	1	14	1.8551
35	2	1	15	-0.2812
35	2	1	16	1.4993
35	2	1	17	-0.7912
35	2	1	18	1.6392
35	2	1	19	0.8497
35	2	1	20	0.5408
35	2	1	21	-0.1662
35	2	1	22	0.8783
35	2	1	23	-0.5706
35	2	1	24	1.0399
35	2	1	25	0.0478
35	2	2	1	5.2699
35	2	2	2	7.8266
35	2	2	3	8.2357
35	2	2	4	5.5581
35	2	2	5	7.2824
35	2	2	6	6.5444
35	2	2	7	5.2968
35	2	2	8	5.6091
35	2	2	9	7.6084
35	2	2	10	9.1734
35	2	2	11	6.1652
35	2	2	12	5.9997
35	2	2	13	7.3243
35	2	2	14	9.7098
35	2	2	15	6.8833
35	2	2	16	5.6074
35	2	2	17	7.4261
35	2	2	18	4.2348
35	2	2	19	7.6953
35	2	2	20	4.9379
35	2	2	21	6.4180
35	2	2	22	6.3798
35	2	2	23	6.8494
35	2	2	24	8.2304
35	2	2	25	8.3901
35	2	2	26	5.5365
35	2	2	27	5.5900
35	2	2	28	6.5795
35	2	2	29	5.3862
35	2	2	30	6.9600
35	2	2	31	4.7966
35	2	2	32	6.4803
19	1	1	1	1.3844
19	1	1	2	-0.6585
19	1	1	3	1.2585
19	1	1	4	1.1770
19	1	1	5	0.0734
19	1	1	6	0.1414
19	1	1	7	1.2800
19	1	1	8	0.3700
19	1	1	9	1.2462
19	1	1	10	0.5008
19	1	1	11	0.2321
19	1	1	12	-0.2740
19	1	1	13	2.8059
19	1	1	14	1.0850
19	1	1	15	1.7849
19	1	1	16	0.4876
19	1	1	17	1.7364
19	1	1	18	1.3734
19	1	1	19	1.5884
19	1	1	20	0.2625
19	1	1	21	2.0606
19	1	1	22	0.9204
19	1	1	23	0.4708
19	1	1	24	-0.0267
19	1	1	25	1.5574
19	1	1	26	0.8595
19	1	1	27	0.0075
19	1	1	28	1.4972
19	1	1	29	1.7315
19	1	1	30	-0.2683
19	1	2	1	3.7025
19	1	2	2	1.7026
19	1	2	3	2.5850
19	1	2	4	3.1486
19	1	2	5	2.4983
19	1	2	6	1.2519
19	1	2	7	3.4364
19	1	2	8	3.3428
19	1	2	9	3.3174
19	1	2	10	1.7928
19	1	2	11	2.8016
19	1	2	12	2.0381
19	1	2	13	2.3024
19	1	2	14	2.4473
19	1	2	15	4.5479
19	1	2	16	2.9107
19	1	2	17	3.6356
19	1	2	18	3.5928
19	1	2	19	3.4004
19	1	2	20	2.8010
19	1	2	21	1.1604
19	1	2	22	2.4308
19	1	2	23	3.4031
19	1	2	24	2.3101
19	1	2	25	2.2720
19	1	2	26	0.6932
19	1	2	27	3.7206
19	1	2	28	3.4391
19	1	2	29	2.5096
19	2	1	1	1.0125
19	2	1	2	2.9396
19	2	1	3	1.3963
19	2	1	4	3.5414
19	2	1	5	3.0086
19	2	1	6	0.4050
19	2	1	7	0.1844
19	2	1	8	5.8434
19	2	1	9	1.8244
19	2	1	10	2.5461
19	2	1	11	2.5513
19	2	1	12	1.6325
19	2	1	13	1.9864
19	2	1	14	3.7354
19	2	1	15	2.7823
19	2	1	16	2.8601
19	2	1	17	3.0884
19	2	1	18	3.3697
19	2	1	19	1.7574
19	2	1	20	1.4907
19	2	1	21	1.8349
19	2	1	22	1.6867
19	2	1	23	1.9285
19	2	1	24	2.8345
19	2	1	25	1.5385
19	2	1	26	1.0332
19	2	1	27	2.4543
19	2	1	28	2.7777
19	2	1	29	3.8745
19	2	1	30	4.9392
19	2	1	31	2.7914
19	2	2	1	4.7364
19	2	2	2	5.0571
19	2	2	3	7.3428
19	2	2	4	6.1807
19	2	2	5	4.9886
19	2	2	6	6.4216
19	2	2	7	6.6629
19	2	2	8	6.5905
19	2	2	9	5.2148
19	2	2	10	4.8546
19	2	2	11	4.9048
19	2	2	12	6.1153
19	2	2	13	5.3839
19	2	2	14	4.7558
19	2	2	15	7.6870
19	2	2	16	5.6240
19	2	2	17	5.6108
19	2	2	18	7.2234
19	2	2	19	8.8235
19	2	2	20	6.4559
19	2	2	21	4.8144
19	2	2	22	4.5926
19	2	2	23	6.4675
19	2	2	24	4.5770
19	2	2	25	5.2990
19	2	2	26	6.3510
19	2	2	27	4.0679
19	2	2	28	4.3181
19	2	2	29	6.2468
19	2	2	30	3.7430
19	2	2	31	5.8671
19	2	2	32	5.6576
19	2	2	33	6.0528
19	2	2	34	4.6545
19	2	2	35	5.1812
19	2	2	36	5.5644
19	2	2	37	7.6122
19	2	2	38	5.6901
19	2	2	39	6.0787
30	1	1	1	1.1925
30	1	1	2	2.4989
30	1	1	3	1.4182
30	1	1	4	0.3206
30	1	1	5	0.9421
30	1	1	6	1.5324
30	1	1	7	1.0924
30	1	1	8	1.7781
30	1	1	9	1.4332
30	1	1	10	1.9683
30	1	1	11	1.0333
30	1	1	12	1.6626
30	1	1	13	2.2300
30	1	1	14	1.5392
30	1	1	15	-0.1138
30	1	1	16	1.1738
30	1	1	17	1.4028
30	1	1	18	1.3632
30	1	1	19	2.0536
30	1	1	20	0.3954
30	1	1	21	1.8315
30	1	1	22	0.7341
30	1	1	23	0.9064
30	1	1	24	1.9188
30	1	1	25	0.5776
30	1	1	26	0.4776
30	1	1	27	1.7559
30	1	2	1	2.9599
30	1	2	2	1.6455
30	1	2	3	2.0427
30	1	2	4	4.6223
30	1	2	5	4.3655
30	1	2	6	4.2168
30	1	2	7	4.3471
30	1	2	8	3.7194
30	1	2	9	1.3587
30	1	2	10	2.2129
30	1	2	11	2.9388
30	1	2	12	4.4498
30	1	2	13	5.0531
30	1	2	14	2.8063
30	1	2	15	3.6959
30	1	2	16	2.9526
30	1	2	17	3.7241
30	1	2	18	3.3573
30	1	2	19	0.3359
30	1	2	20	2.9122
30	1	2	21	4.7682
30	1	2	22	3.6471
30	1	2	23	4.5789
30	1	2	24	3.4381
30	1	2	25	5.3708
30	1	2	26	3.7698
30	1	2	27	2.1782
30	1	2	28	2.3681
30	2	1	1	3.1042
30	2	1	2	1.3182
30	2	1	3	2.0040
30	2	1	4	2.6352
30	2	1	5	1.2090
30	2	1	6	3.7926
30	2	1	7	1.5557
30	2	1	8	2.2327
30	2	1	9	2.6965
30	2	1	10	1.9240
30	2	1	11	2.4213
30	2	1	12	1.9962
30	2	1	13	3.1672
30	2	1	14	2.6444
30	2	1	15	0.7682
30	2	1	16	3.3716
30	2	1	17	1.9656
30	2	1	18	0.7575
30	2	1	19	2.2300
30	2	1	20	2.2313
30	2	1	21	1.1192
30	2	1	22	0.5302
30	2	1	23	1.6366
30	2	1	24	0.5369
30	2	1	25	3.3905
30	2	1	26	0.8290
30	2	2	1	5.6685
30	2	2	2	4.9806
30	2	2	3	5.2258
30	2	2	4	7.5555
30	2	2	5	5.5605
30	2	2	6	7.0850
30	2	2	7	8.0438
30	2	2	8	6.8363
30	2	2	9	5.6856
30	2	2	10	6.1446
30	2	2	11	5.2814
30	2	2	12	8.4578
30	2	2	13	5.7775
30	2	2	14	6.5841
30	2	2	15	3.8696
30	2	2	16	6.5018
30	2	2	17	6.2431
30	2	2	18	5.9329
30	2	2	19	6.5767
30	2	2	20	6.4341
30	2	2	21	5.4927
30	2	2	22	5.5289
30	2	2	23	6.2681
30	2	2	24	5.5162
30	2	2	25	5.7798
30	2	2	26	5.7576
30	2	2	27	5.6809
30	2	2	28	4.4643
5	1	1	1	0.5189
5	1	1	2	1.2437
5	1	1	3	3.2229
5	1	1	4	2.2057
5	1	1	5	1.9269
5	1	1	6	3.3695
5	1	1	7	2.2177
5	1	1	8	2.4253
5	1	1	9	1.3037
5	1	1	10	2.5219
5	1	1	11	0.8991
5	1	1	12	2.4306
5	1	1	13	0.7532
5	1	1	14	2.9208
5	1	1	15	0.7052
5	1	1	16	0.7735
5	1	1	17	1.4233
5	1	1	18	2.2009
5	1	1	19	2.3942
5	1	1	20	1.0362
5	1	1	21	2.7565
5	1	1	22	2.0940
5	1	1	23	3.7736
5	1	1	24	0.5692
5	1	1	25	0.9200
5	1	1	26	0.8146
5	1	2	1	4.2230
5	1	2	2	5.1498
5	1	2	3	6.5610
5	1	2	4	4.4027
5	1	2	5	4.2400
5	1	2	6	3.1406
5	1	2	7	4.3832
5	1	2	8	3.7691
5	1	2	9	4.4728
5	1	2	10	4.5683
5	1	2	11	5.6206
5	1	2	12	3.9353
5	1	2	13	3.9236
5	1	2	14	3.0707
5	1	2	15	3.4914
5	1	2	16	4.0543
5	1	2	17	5.2155
5	1	2	18	4.6352
5	1	2	19	6.1922
5	1	2	20	5.1659
5	1	2	21	3.6109
5	1	2	22	4.9659
5	1	2	23	4.9790
5	1	2	24	3.6321
5	1	2	25	4.0745
5	1	2	26	3.8312
5	1	2	27	3.8202
5	1	2	28	2.4047
5	2	1	1	1.8152
5	2	1	2	1.9438
5	2	1	3	2.1723
5	2	1	4	3.6019
5	2	1	5	4.2071
5	2	1	6	1.9872
5	2	1	7	2.0390
5	2	1	8	1.8666
5	2	1	9	1.4689
5	2	1	10	2.4600
5	2	1	11	3.5480
5	2	1	12	3.4403
5	2	1	13	3.7800
5	2	1	14	2.3344
5	2	1	15	1.6413
5	2	1	16	3.5165
5	2	1	17	3.4099
5	2	1	18	3.2877
5	2	1	19	2.0949
5	2	1	20	1.4773
5	2	1	21	4.4460
5	2	1	22	2.3992
5	2	1	23	1.9867
5	2	1	24	3.5278
5	2	1	25	3.5505
5	2	1	26	2.8655
5	2	1	27	3.1622
5	2	1	28	2.5116
5	2	1	29	1.3877
5	2	1	30	2.8760
5	2	2	1	6.1137
5	2	2	2	4.7035
5	2	2	3	4.4442
5	2	2	4	6.1560
5	2	2	5	4.3640
5	2	2	6	4.2940
5	2	2	7	4.5415
5	2	2	8	3.5017
5	2	2	9	4.9297
5	2	2	10	7.5286
5	2	2	11	5.2453
5	2	2	12	5.8982
5	2	2	13	5.4663
5	2	2	14	7.2034
5	2	2	15	6.6162
5	2	2	16	4.9776
5	2	2	17	4.9160
5	2	2	18	5.7332
5	2	2	19	4.7994
5	2	2	20	4.7974
5	2	2	21	6.0956
5	2	2	22	4.0591
5	2	2	23	6.1829
5	2	2	24	4.5174
5	2	2	25	4.2862
5	2	2	26	4.1734
5	2	2	27	4.0368
5	2	2	28	5.7458
5	2	2	29	5.0557
5	2	2	30	6.1056
5	2	2	31	5.2364
5	2	2	32	4.0253
5	2	2	33	4.9517
5	2	2	34	6.6288
5	2	2	35	5.0886
11	1	1	1	1.8782
11	1	1	2	3.1653
11	1	1	3	3.0616
11	1	1	4	4.1424
11	1	1	5	2.2110
11	1	1	6	2.4280
11	1	1	7	1.9481
11	1	1	8	0.5732
11	1	1	9	3.6183
11	1	1	10	4.2280
11	1	1	11	3.1194
11	1	1	12	2.4662
11	1	1	13	1.5054
11	1	1	14	1.8979
11	1	1	15	2.6807
11	1	1	16	2.0815
11	1	1	17	1.8976
11	1	1	18	2.4516
11	1	1	19	4.1552
11	1	1	20	3.5956
11	1	1	21	4.2126
11	1	1	22	2.5691
11	1	1	23	2.4247
11	1	1	24	4.1779
11	1	1	25	3.2941
11	1	1	26	1.4539
11	1	2	1	4.2045
11	1	2	2	2.6485
11	1	2	3	2.9621
11	1	2	4	3.8403
11	1	2	5	0.1578
11	1	2	6	2.1047
11	1	2	7	0.7730
11	1	2	8	2.9846
11	1	2	9	2.0366
11	1	2	10	1.8005
11	1	2	11	2.0267
11	1	2	12	1.9333
11	1	2	13	1.7617
11	1	2	14	4.0631
11	1	2	15	4.8471
11	1	2	16	2.6650
11	1	2	17	3.4171
11	1	2	18	2.5357
11	1	2	19	4.2930
11	1	2	20	4.2078
11	1	2	21	1.6985
11	1	2	22	4.1354
11	2	1	1	1.0838
11	2	1	2	1.6715
11	2	1	3	1.8156
11	2	1	4	0.9676
11	2	1	5	1.1456
11	2	1	6	0.5936
11	2	1	7	1.1750
11	2	1	8	-0.1216
11	2	1	9	-0.4629
11	2	1	10	0.5786
11	2	1	11	0.0950
11	2	1	12	0.6248
11	2	1	13	1.0385
11	2	1	14	1.2844
11	2	1	15	-0.5771
11	2	1	16	0.7868
11	2	1	17	0.4489
11	2	1	18	-0.4252
11	2	1	19	0.9127
11	2	1	20	1.4550
11	2	1	21	1.9240
11	2	1	22	2.5274
11	2	1	23	0.5343
11	2	1	24	1.4114
11	2	1	25	1.0317
11	2	1	26	1.5616
11	2	1	27	0.9874
11	2	1	28	1.4152
11	2	1	29	1.5350
11	2	2	1	6.7895
11	2	2	2	7.0364
11	2	2	3	6.5178
11	2	2	4	6.4502
11	2	2	5	6.6066
11	2	2	6	6.9905
11	2	2	7	6.0595
11	2	2	8	5.5977
11	2	2	9	4.4946
11	2	2	10	4.9309
11	2	2	11	6.2026
11	2	2	12	7.5343
11	2	2	13	7.2671
11	2	2	14	6.5767
11	2	2	15	5.4319
11	2	2	16	7.3683
11	2	2	17	3.5701
11	2	2	18	6.3032
11	2	2	19	6.4706
11	2	2	20	6.0163
11	2	2	21	6.0896
11	2	2	22	6.3785
11	2	2	23	6.6313
11	2	2	24	5.5467
11	2	2	25	6.4402
11	2	2	26	7.9056
11	2	2	27	6.8215
11	2	2	28	5.4977
11	2	2	29	6.9786
6	1	1	1	-0.0054
6	1	1	2	0.8519
6	1	1	3	-0.9254
6	1	1	4	-1.7311
6	1	1	5	-0.6602
6	1	1	6	-1.2733
6	1	1	7	-0.5839
6	1	1	8	-0.2161
6	1	1	9	2.3621
6	1	1	10	0.0365
6	1	1	11	-0.8189
6	1	1	12	0.2160
